epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4456,1.05802,1.16806,1.15151,0.70736,0.58563,0.64608,0.45086,1.0412,0.86157,1.07956,0.0700533,0.00332741,0.00332741
2,112.048,1.11643,0.99161,1.17454,0.59854,0.49615,0.53504,0.34381,1.17714,1.02257,1.1698,0.0400516,0.0066591,0.0066591
3,157.956,1.26326,1.20489,1.26972,0.53664,0.3389,0.35893,0.21085,1.37512,1.33098,1.32203,0.0100434,0.00998423,0.00998423
4,204.004,1.39976,1.4101,1.36006,0.50555,0.35888,0.37322,0.20748,1.4341,1.36252,1.36511,0.00997783,0.00997783,0.00997783
5,251.356,1.38593,1.37448,1.35829,0.50763,0.37411,0.36797,0.21023,1.41913,1.35238,1.35837,0.00996061,0.00996061,0.00996061
6,296.035,1.3677,1.35182,1.3474,0.58764,0.3718,0.40619,0.24386,1.37291,1.26169,1.32142,0.0099385,0.0099385,0.0099385
7,339.764,1.34832,1.31513,1.33645,0.5755,0.37928,0.40917,0.24907,1.33811,1.25204,1.30963,0.00991152,0.00991152,0.00991152
8,384.011,1.32706,1.27949,1.32499,0.51028,0.4147,0.41349,0.24537,1.36481,1.24421,1.32452,0.0098797,0.0098797,0.0098797
9,427.476,1.3101,1.25649,1.31414,0.57581,0.39783,0.43634,0.2663,1.34117,1.21209,1.31179,0.00984307,0.00984307,0.00984307
10,470.697,1.30369,1.2415,1.3057,0.6565,0.38512,0.4488,0.28147,1.29595,1.15883,1.27462,0.00980167,0.00980167,0.00980167
11,514.326,1.27742,1.21309,1.29402,0.53861,0.41122,0.44925,0.27225,1.29829,1.17008,1.27217,0.00975553,0.00975553,0.00975553
12,558.082,1.27841,1.21189,1.29031,0.61994,0.42617,0.46792,0.2866,1.28718,1.13653,1.27043,0.0097047,0.0097047,0.0097047
13,603.013,1.25932,1.17321,1.27397,0.59202,0.4209,0.46201,0.28797,1.27544,1.13286,1.26857,0.00964923,0.00964923,0.00964923
14,646.859,1.24408,1.16373,1.27087,0.57536,0.4611,0.49451,0.30279,1.25888,1.1159,1.24514,0.00958918,0.00958918,0.00958918
15,690.104,1.24006,1.14189,1.26479,0.59481,0.44897,0.47299,0.30049,1.2694,1.12703,1.25869,0.00952461,0.00952461,0.00952461
16,734.027,1.224,1.13728,1.26125,0.65396,0.4477,0.50984,0.31865,1.2523,1.07288,1.24405,0.00945558,0.00945558,0.00945558
17,778.017,1.22069,1.11515,1.25385,0.69698,0.41758,0.50495,0.31199,1.22967,1.05654,1.23727,0.00938215,0.00938215,0.00938215
18,822.358,1.20827,1.10747,1.24699,0.56926,0.46478,0.49276,0.29913,1.2455,1.08119,1.23921,0.00930441,0.00930441,0.00930441
19,865.636,1.20742,1.09383,1.24628,0.63321,0.44743,0.5068,0.32459,1.21713,1.04143,1.21832,0.00922242,0.00922242,0.00922242
20,909.2,1.19785,1.08515,1.23672,0.65939,0.43731,0.50757,0.322,1.21394,1.0271,1.21416,0.00913627,0.00913627,0.00913627
21,953.103,1.18984,1.08256,1.23495,0.65365,0.48003,0.51646,0.32722,1.21509,1.02669,1.22561,0.00904604,0.00904604,0.00904604
22,996.109,1.17966,1.06411,1.22707,0.65465,0.47294,0.5291,0.33634,1.21399,1.02334,1.2225,0.00895182,0.00895182,0.00895182
23,1040.08,1.17928,1.05534,1.22617,0.61788,0.4847,0.51846,0.32264,1.20731,1.01595,1.21338,0.00885371,0.00885371,0.00885371
24,1082.86,1.17103,1.04489,1.21975,0.6246,0.47441,0.53222,0.34205,1.19494,0.99522,1.20762,0.0087518,0.0087518,0.0087518
25,1126.78,1.16774,1.03713,1.21905,0.68801,0.45583,0.53135,0.3414,1.19963,0.99387,1.21081,0.0086462,0.0086462,0.0086462
26,1169.96,1.16195,1.03167,1.2152,0.63056,0.46411,0.52419,0.34237,1.18729,0.98358,1.20337,0.008537,0.008537,0.008537
27,1212.86,1.14597,1.01204,1.20884,0.68379,0.47174,0.54309,0.34364,1.18246,0.98305,1.20006,0.00842431,0.00842431,0.00842431
28,1256.46,1.14438,1.00597,1.20092,0.60159,0.5078,0.54006,0.35313,1.1787,0.97281,1.19797,0.00830825,0.00830825,0.00830825
29,1301.07,1.13774,0.99427,1.19876,0.65538,0.49969,0.55441,0.35381,1.19058,0.97825,1.2133,0.00818893,0.00818893,0.00818893
30,1344.58,1.13138,0.98836,1.19633,0.67754,0.4856,0.55656,0.35673,1.17264,0.96072,1.19408,0.00806647,0.00806647,0.00806647
31,1388.13,1.12121,0.97446,1.19088,0.6918,0.48408,0.54608,0.35596,1.17637,0.96261,1.18912,0.00794099,0.00794099,0.00794099
32,1431.27,1.11975,0.97178,1.18523,0.62636,0.50242,0.54082,0.34541,1.17594,0.96511,1.19157,0.00781261,0.00781261,0.00781261
33,1475.82,1.11782,0.95945,1.18278,0.66202,0.4844,0.54426,0.3511,1.15894,0.94923,1.17857,0.00768145,0.00768145,0.00768145
34,1519.43,1.11367,0.95516,1.18219,0.7007,0.46533,0.55352,0.35566,1.16194,0.94361,1.18264,0.00754766,0.00754766,0.00754766
35,1562.3,1.10453,0.93983,1.17537,0.65759,0.49338,0.55231,0.35953,1.1584,0.93069,1.18544,0.00741136,0.00741136,0.00741136
36,1606.78,1.1022,0.93651,1.17331,0.72096,0.49466,0.58253,0.37863,1.15091,0.9231,1.17418,0.00727268,0.00727268,0.00727268
37,1651.81,1.0915,0.93028,1.16672,0.68931,0.50473,0.56796,0.37436,1.14686,0.93201,1.16942,0.00713177,0.00713177,0.00713177
38,1695.97,1.08925,0.92359,1.16927,0.68502,0.48963,0.55509,0.36404,1.15298,0.92299,1.17644,0.00698875,0.00698875,0.00698875
39,1737.96,1.0819,0.91372,1.16362,0.64529,0.51579,0.56666,0.36759,1.14609,0.91225,1.17473,0.00684378,0.00684378,0.00684378
40,1780.23,1.07821,0.90795,1.16128,0.6724,0.51123,0.57561,0.37535,1.14906,0.91024,1.17296,0.006697,0.006697,0.006697
41,1823.04,1.07225,0.89662,1.15453,0.67683,0.50488,0.56978,0.3746,1.14511,0.90811,1.17162,0.00654854,0.00654854,0.00654854
42,1865.95,1.07104,0.89708,1.15498,0.71325,0.50251,0.58135,0.38522,1.14278,0.90213,1.1701,0.00639856,0.00639856,0.00639856
43,1906.74,1.05461,0.88494,1.14942,0.69806,0.51018,0.57968,0.37672,1.14069,0.89622,1.1715,0.00624721,0.00624721,0.00624721
44,1948.54,1.04736,0.87439,1.14391,0.6657,0.52645,0.58474,0.38246,1.13464,0.89984,1.16539,0.00609463,0.00609463,0.00609463
45,1991.07,1.05729,0.86942,1.14397,0.68141,0.51718,0.58603,0.38494,1.13286,0.89051,1.16289,0.00594097,0.00594097,0.00594097
46,2033.78,1.05045,0.86405,1.14152,0.70175,0.53371,0.58599,0.38285,1.1288,0.88594,1.16477,0.00578639,0.00578639,0.00578639
47,2077.1,1.03989,0.85283,1.13569,0.68662,0.50229,0.58517,0.38678,1.13231,0.88657,1.16091,0.00563104,0.00563104,0.00563104
48,2120.03,1.0321,0.8523,1.13334,0.6984,0.51385,0.57876,0.384,1.12574,0.8802,1.16281,0.00547507,0.00547507,0.00547507
49,2162.29,1.02806,0.84256,1.12998,0.69951,0.50665,0.58645,0.37998,1.12924,0.88511,1.15793,0.00531864,0.00531864,0.00531864
50,2206.28,1.02568,0.83208,1.12744,0.65027,0.54769,0.58849,0.38809,1.12489,0.88118,1.15768,0.0051619,0.0051619,0.0051619
51,2248.99,1.02173,0.82685,1.1245,0.69609,0.53361,0.59559,0.39496,1.12809,0.87905,1.16804,0.005005,0.005005,0.005005
52,2291.9,1.01596,0.8129,1.12023,0.70332,0.5225,0.59654,0.39346,1.1286,0.87777,1.16557,0.0048481,0.0048481,0.0048481
53,2334.11,1.01062,0.81608,1.1202,0.67106,0.53526,0.58279,0.37894,1.13238,0.88037,1.16884,0.00469136,0.00469136,0.00469136
54,2377.41,1.00716,0.80606,1.11217,0.68761,0.52513,0.58956,0.3894,1.12832,0.872,1.16559,0.00453493,0.00453493,0.00453493
55,2420.48,0.99702,0.79412,1.10907,0.65934,0.55863,0.59986,0.39387,1.12297,0.87432,1.16229,0.00437896,0.00437896,0.00437896
56,2462.84,0.99849,0.79128,1.10917,0.66209,0.54325,0.59511,0.39285,1.11705,0.86721,1.15747,0.00422361,0.00422361,0.00422361
57,2505.27,0.99599,0.7856,1.10641,0.69988,0.51647,0.58287,0.38363,1.12125,0.8669,1.15989,0.00406903,0.00406903,0.00406903
58,2549.24,0.99225,0.77863,1.10435,0.69815,0.51368,0.59193,0.39311,1.1217,0.87028,1.15779,0.00391537,0.00391537,0.00391537
59,2593.42,0.9816,0.76877,1.09674,0.74052,0.51751,0.59639,0.39199,1.12143,0.86919,1.15632,0.00376279,0.00376279,0.00376279
60,2636.8,0.98064,0.76634,1.09736,0.68982,0.537,0.60505,0.3983,1.12078,0.86036,1.1575,0.00361144,0.00361144,0.00361144
61,2678.47,0.98049,0.75943,1.09567,0.73071,0.5429,0.60978,0.39942,1.12035,0.86001,1.15968,0.00346146,0.00346146,0.00346146
62,2721.18,0.96699,0.7531,1.09142,0.6708,0.55291,0.60908,0.39822,1.12324,0.85927,1.16216,0.003313,0.003313,0.003313
63,2763.06,0.96386,0.74083,1.08756,0.70679,0.55216,0.61053,0.39963,1.12144,0.85516,1.16042,0.00316622,0.00316622,0.00316622
64,2805.87,0.95942,0.74379,1.08628,0.73179,0.52313,0.60274,0.39648,1.12072,0.85491,1.16066,0.00302125,0.00302125,0.00302125
65,2848.81,0.94951,0.73266,1.08199,0.69906,0.56545,0.61779,0.40704,1.11969,0.85658,1.16226,0.00287823,0.00287823,0.00287823
