epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.8308,1.21317,1.94552,1.21678,0.61438,0.42172,0.45206,0.29568,1.20571,1.37813,1.17641,0.00332741,0.00332741,0.00332741
2,143.245,1.29454,1.55318,1.27393,0.48834,0.36134,0.36362,0.20805,1.38943,1.49434,1.30968,0.0065948,0.0065948,0.0065948
3,195.692,1.424,1.65256,1.36398,0.42571,0.23959,0.25334,0.13618,1.62122,1.81746,1.50625,0.0097962,0.0097962,0.0097962
4,246.247,1.53114,1.72807,1.43842,0.36458,0.28295,0.25441,0.13305,1.56059,1.66492,1.44668,0.009703,0.009703,0.009703
5,296.659,1.49508,1.63247,1.42888,0.41467,0.28961,0.27893,0.15383,1.5702,1.65862,1.47945,0.009604,0.009604,0.009604
6,345.826,1.46769,1.57702,1.4103,0.4347,0.28501,0.28582,0.16047,1.55498,1.69207,1.49019,0.009505,0.009505,0.009505
7,396.436,1.44218,1.51889,1.39638,0.48999,0.31283,0.3222,0.18531,1.46697,1.47349,1.3941,0.009406,0.009406,0.009406
8,446.577,1.42342,1.48179,1.38036,0.47608,0.36215,0.3634,0.20348,1.4334,1.39019,1.35832,0.009307,0.009307,0.009307
9,498.048,1.4023,1.44685,1.36822,0.46654,0.34343,0.34895,0.20717,1.4514,1.42013,1.37967,0.009208,0.009208,0.009208
10,548.01,1.39871,1.42366,1.36303,0.5535,0.31469,0.36411,0.21918,1.43298,1.43226,1.36842,0.009109,0.009109,0.009109
11,600.088,1.37405,1.39312,1.35282,0.51871,0.37971,0.39475,0.22817,1.40049,1.3188,1.34376,0.00901,0.00901,0.00901
12,649.82,1.37571,1.38547,1.35247,0.57775,0.32487,0.37085,0.22672,1.38727,1.32964,1.33406,0.008911,0.008911,0.008911
13,699.459,1.35301,1.34395,1.33111,0.57621,0.34631,0.39496,0.24078,1.37775,1.29633,1.32017,0.008812,0.008812,0.008812
14,750.137,1.34498,1.33316,1.32786,0.53658,0.41574,0.43486,0.25909,1.36726,1.24251,1.30896,0.008713,0.008713,0.008713
15,800.15,1.33882,1.31946,1.32472,0.53127,0.36707,0.40106,0.24599,1.35712,1.27727,1.30549,0.008614,0.008614,0.008614
16,850.58,1.32652,1.30754,1.3175,0.54563,0.41436,0.43881,0.25813,1.34569,1.23137,1.30605,0.008515,0.008515,0.008515
