epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3128,1.86535,2.67033,1.58717,0.14271,0.03855,0.00756,0.00298,2.68294,21.8682,2.93126,0.0701596,0.0033156,0.0033156
2,137.726,1.91794,2.47464,1.64686,0.30243,0.09508,0.07121,0.03139,2.27255,7.94862,2.06313,0.0400937,0.00658311,0.00658311
3,202.08,1.87873,2.41864,1.6315,0.24548,0.12864,0.09163,0.04526,2.03446,3.01622,1.83391,0.00996193,0.00978462,0.00978462
4,303.487,1.79191,2.23402,1.58836,0.28084,0.14184,0.13296,0.06775,1.86796,2.59317,1.7171,0.009703,0.009703,0.009703
5,367.984,1.74202,2.12064,1.54157,0.43578,0.17164,0.15082,0.07764,1.82653,2.55519,1.6853,0.009604,0.009604,0.009604
6,432.867,1.7089,2.02996,1.51467,0.48611,0.17398,0.15142,0.0782,1.83178,2.28379,1.68299,0.009505,0.009505,0.009505
7,530.206,1.68908,1.99167,1.50455,0.51944,0.17159,0.19046,0.09502,1.88595,2.28859,1.68579,0.009406,0.009406,0.009406
8,592.69,1.66237,1.9466,1.49205,0.57103,0.18072,0.18431,0.09464,1.87255,2.06811,1.6751,0.009307,0.009307,0.009307
9,654.284,1.65841,1.92489,1.47953,0.456,0.21039,0.20695,0.11175,1.81269,2.06843,1.64613,0.009208,0.009208,0.009208
10,716.169,1.63103,1.89154,1.46772,0.53626,0.18445,0.21961,0.11555,1.83512,2.03426,1.63623,0.009109,0.009109,0.009109
11,777.833,1.62663,1.89256,1.47273,0.52928,0.23304,0.21684,0.11647,1.76885,1.95989,1.61282,0.00901,0.00901,0.00901
12,840.069,1.61828,1.85848,1.46591,0.48808,0.20517,0.19432,0.10306,1.78759,2.09977,1.67828,0.008911,0.008911,0.008911
13,902.611,1.60963,1.79811,1.44742,0.5466,0.24984,0.24725,0.13023,1.71166,1.83917,1.59006,0.008812,0.008812,0.008812
14,964.182,1.61938,1.83892,1.46574,0.58315,0.22988,0.23032,0.13014,1.7062,1.86967,1.58099,0.008713,0.008713,0.008713
15,1025.31,1.59561,1.78995,1.44785,0.52849,0.24708,0.23805,0.13543,1.68822,1.90735,1.57204,0.008614,0.008614,0.008614
16,1097.52,1.58314,1.74952,1.42509,0.48803,0.24462,0.23338,0.12893,1.70097,1.84758,1.56622,0.008515,0.008515,0.008515
17,1160.94,1.58328,1.76016,1.43299,0.4882,0.20878,0.22291,0.12298,1.71177,1.9334,1.57302,0.008416,0.008416,0.008416
18,1222.21,1.57327,1.73683,1.42852,0.58632,0.24971,0.25465,0.1379,1.67346,1.7446,1.52209,0.008317,0.008317,0.008317
19,1288.05,1.56309,1.73998,1.41729,0.58118,0.24169,0.26024,0.14823,1.7213,1.87628,1.55737,0.008218,0.008218,0.008218
20,1349.42,1.5629,1.71309,1.42512,0.57076,0.28469,0.28063,0.15604,1.68219,1.72958,1.53598,0.008119,0.008119,0.008119
21,1410.62,1.5753,1.72581,1.42378,0.56648,0.28625,0.28371,0.15637,1.66054,1.65915,1.51257,0.00802,0.00802,0.00802
22,1471.66,1.54899,1.68363,1.40707,0.5961,0.23876,0.26428,0.1387,1.71421,1.80483,1.55894,0.007921,0.007921,0.007921
23,1589.17,1.55467,1.67404,1.40315,0.50667,0.27005,0.27087,0.1519,1.66974,1.71509,1.53661,0.007822,0.007822,0.007822
24,1657.88,1.53396,1.65686,1.39394,0.57669,0.24917,0.24769,0.14015,1.70638,1.87177,1.55225,0.007723,0.007723,0.007723
25,1720.95,1.52706,1.66014,1.39328,0.58148,0.28049,0.28239,0.15814,1.64787,1.66157,1.50062,0.007624,0.007624,0.007624
26,1783.11,1.52708,1.64577,1.39432,0.56663,0.25665,0.2743,0.15095,1.65688,1.77652,1.50318,0.007525,0.007525,0.007525
27,1844.74,1.52212,1.62995,1.3919,0.55559,0.26626,0.27057,0.14729,1.6459,1.73143,1.5033,0.007426,0.007426,0.007426
28,1907.47,1.51714,1.62486,1.3786,0.66553,0.25996,0.29738,0.16692,1.61347,1.61772,1.48165,0.007327,0.007327,0.007327
29,1969.3,1.51318,1.62604,1.38879,0.54101,0.30485,0.28628,0.15768,1.61267,1.62838,1.47539,0.007228,0.007228,0.007228
30,2032.97,1.50581,1.58333,1.36758,0.50534,0.28144,0.28584,0.16125,1.63228,1.70015,1.50782,0.007129,0.007129,0.007129
31,2094.61,1.49668,1.59194,1.36828,0.56027,0.30152,0.32367,0.18417,1.6124,1.66193,1.47553,0.00703,0.00703,0.00703
32,2155.82,1.49491,1.57794,1.37382,0.58088,0.29314,0.28534,0.16297,1.63905,1.73892,1.51433,0.006931,0.006931,0.006931
33,2217.87,1.50199,1.59498,1.38261,0.49621,0.2496,0.2667,0.14672,1.70412,1.81386,1.54144,0.006832,0.006832,0.006832
34,2279.29,1.49059,1.58403,1.36286,0.5544,0.30488,0.31337,0.17564,1.61342,1.58806,1.47639,0.006733,0.006733,0.006733
35,2340.82,1.48518,1.5628,1.36059,0.63225,0.27294,0.31258,0.17721,1.61956,1.7155,1.48892,0.006634,0.006634,0.006634
36,2403.69,1.48521,1.55886,1.35331,0.54711,0.30921,0.30439,0.16703,1.60985,1.60053,1.46085,0.006535,0.006535,0.006535
37,2466.62,1.48165,1.54688,1.35362,0.59351,0.3344,0.33074,0.1894,1.56906,1.60447,1.4454,0.006436,0.006436,0.006436
38,2530.64,1.47534,1.53308,1.35506,0.58939,0.30669,0.30359,0.1745,1.59743,1.61762,1.46035,0.006337,0.006337,0.006337
39,2592.93,1.46154,1.51369,1.34862,0.5806,0.29013,0.30942,0.17791,1.56906,1.61289,1.4529,0.006238,0.006238,0.006238
40,2654.54,1.47787,1.53489,1.35024,0.54874,0.32275,0.32544,0.18861,1.57286,1.5599,1.45152,0.006139,0.006139,0.006139
41,2717.31,1.46705,1.51885,1.35744,0.54597,0.32665,0.31367,0.17247,1.60816,1.62726,1.46106,0.00604,0.00604,0.00604
42,2778.62,1.45657,1.49891,1.34226,0.64308,0.28678,0.32489,0.18564,1.55782,1.57897,1.44175,0.005941,0.005941,0.005941
43,2840.43,1.44729,1.50383,1.33782,0.5972,0.31347,0.31035,0.17954,1.5656,1.62257,1.43263,0.005842,0.005842,0.005842
44,2902.6,1.45374,1.48571,1.33014,0.5205,0.34202,0.33645,0.18985,1.58457,1.50276,1.44346,0.005743,0.005743,0.005743
45,2964.66,1.44782,1.48225,1.3296,0.45495,0.3332,0.31684,0.18415,1.58129,1.59825,1.45923,0.005644,0.005644,0.005644
46,3025.97,1.44191,1.46783,1.32852,0.57687,0.31754,0.32835,0.19131,1.57268,1.59872,1.45145,0.005545,0.005545,0.005545
47,3087.56,1.44213,1.46589,1.32325,0.60589,0.34143,0.33836,0.19243,1.53724,1.50093,1.42693,0.005446,0.005446,0.005446
48,3149.06,1.44717,1.46885,1.32517,0.60979,0.32544,0.333,0.19667,1.51531,1.50312,1.40062,0.005347,0.005347,0.005347
49,3211.96,1.43554,1.44706,1.31973,0.62993,0.31634,0.34125,0.1995,1.54091,1.55596,1.41211,0.005248,0.005248,0.005248
50,3275.81,1.42615,1.43651,1.31722,0.56219,0.31968,0.32733,0.19072,1.53119,1.50048,1.40895,0.005149,0.005149,0.005149
51,3337.42,1.42975,1.43276,1.31803,0.61392,0.31953,0.34217,0.20196,1.53736,1.55225,1.41867,0.00505,0.00505,0.00505
52,3399.08,1.41947,1.44793,1.31258,0.59286,0.32679,0.33614,0.19649,1.52734,1.46127,1.4022,0.004951,0.004951,0.004951
53,3461.56,1.41706,1.42298,1.30854,0.61392,0.33621,0.34033,0.19503,1.55425,1.53451,1.4139,0.004852,0.004852,0.004852
54,3523.97,1.41655,1.41452,1.30707,0.64781,0.33119,0.34552,0.1996,1.51771,1.4612,1.4032,0.004753,0.004753,0.004753
55,3585.86,1.4015,1.39718,1.30204,0.54745,0.3166,0.32996,0.19079,1.54428,1.52086,1.40818,0.004654,0.004654,0.004654
56,3646.96,1.39946,1.40186,1.30792,0.49919,0.34046,0.3525,0.20913,1.50831,1.46762,1.39326,0.004555,0.004555,0.004555
57,3709.24,1.40836,1.39232,1.30297,0.62936,0.33894,0.35582,0.20186,1.51896,1.42812,1.39475,0.004456,0.004456,0.004456
58,3770.58,1.38449,1.37643,1.29126,0.52444,0.35093,0.35079,0.20652,1.49816,1.40475,1.39187,0.004357,0.004357,0.004357
59,3832.3,1.38826,1.37456,1.29525,0.56799,0.36356,0.35031,0.20557,1.50021,1.43016,1.38071,0.004258,0.004258,0.004258
60,3895.14,1.38343,1.37486,1.28633,0.57769,0.38805,0.38303,0.23168,1.5042,1.45852,1.37497,0.004159,0.004159,0.004159
61,3956.78,1.3934,1.36445,1.28832,0.62618,0.33387,0.34811,0.20359,1.51688,1.46933,1.39805,0.00406,0.00406,0.00406
62,4018.97,1.39193,1.36732,1.29206,0.59783,0.33254,0.35175,0.20452,1.48408,1.45145,1.37799,0.003961,0.003961,0.003961
63,4080.41,1.36913,1.33863,1.28478,0.57985,0.41656,0.38928,0.23284,1.48016,1.41228,1.36568,0.003862,0.003862,0.003862
64,4142.49,1.378,1.33696,1.28355,0.67658,0.34303,0.37405,0.21834,1.47065,1.39332,1.36093,0.003763,0.003763,0.003763
65,4206.03,1.36957,1.32774,1.27344,0.63239,0.3314,0.38842,0.22375,1.47578,1.38422,1.35939,0.003664,0.003664,0.003664
66,4268.44,1.35823,1.32015,1.26739,0.61854,0.37717,0.39101,0.23759,1.50027,1.4072,1.38287,0.003565,0.003565,0.003565
67,4330.66,1.35189,1.29289,1.26297,0.62488,0.37159,0.36452,0.21412,1.46963,1.37463,1.36149,0.003466,0.003466,0.003466
68,4392.19,1.35743,1.30496,1.26685,0.66594,0.33705,0.37725,0.22126,1.467,1.38039,1.36398,0.003367,0.003367,0.003367
69,4454.22,1.35201,1.31311,1.2648,0.65252,0.3471,0.37783,0.22329,1.46642,1.36496,1.36009,0.003268,0.003268,0.003268
70,4516.47,1.34488,1.28547,1.25812,0.62432,0.35937,0.37595,0.22157,1.44485,1.3845,1.35644,0.003169,0.003169,0.003169
71,4578.01,1.34452,1.2923,1.26278,0.61065,0.33477,0.37238,0.22283,1.47836,1.37388,1.36138,0.00307,0.00307,0.00307
